Href,Title,Subtitle,Authors,Publication_title,Year,DOI
https://link.springer.com/bookseries/2377,Artificial Intelligence,,"S. Amarel, A. Biermann, L. Bolc, P. Hayes, A. Joshi, D. Lenat, D. W. Loveland…",,,
https://link.springer.com/book/10.1007/978-1-349-13277-5,Artificial Intelligence,,Ian Pratt,Macmillan Computer Science Series,(1994),https://doi.org/10.1007/978-1-349-13277-5
https://link.springer.com/book/10.1007/978-981-15-6548-9,Artificial Intelligence,A National Strategic Initiative,,,(2021),https://doi.org/10.1007/978-981-15-6548-9
https://link.springer.com/referenceworkentry/10.1007/978-3-030-39903-0_300123,Artificial Intelligence,,,Encyclopedia of Behavioral Medicine,(2020),
https://link.springer.com/referenceworkentry/10.1007/978-1-4020-6754-9_1183,Artificial Intelligence,,,"Encyclopedia of Genetics, Genomics, Proteomics and Informatics",(2008),
https://link.springer.com/referenceworkentry/10.1007/978-3-030-77954-2_300035,Artificial Intelligence,,,The Palgrave Encyclopedia of Peace and Conflict Studies,(2022),
https://link.springer.com/referenceworkentry/10.1007/978-3-319-78262-1_300031,Artificial Intelligence,,,Encyclopedia of Wireless Networks,(2020),
https://link.springer.com/referenceworkentry/10.1007/978-1-4614-3858-8_100033,Artificial Intelligence,,,"Encyclopedia of Creativity, Invention, Innovation and Entrepreneurship",(2013),
https://link.springer.com/referenceworkentry/10.1007/978-3-319-15347-6_300058,Artificial Intelligence,,,"Encyclopedia of Creativity, Invention, Innovation and Entrepreneurship",(2020),
https://link.springer.com/referenceworkentry/10.1007/978-3-540-29678-2_375,Artificial Intelligence,,,Encyclopedia of Neuroscience,(2009),
https://link.springer.com/book/10.1007/978-3-030-31978-6,Artificial Intelligence,"30th Benelux Conference, BNAIC 2018, ‘s-Hertogenbosch, The Netherlands, November 8–9, 2018, Revised Selected Papers","Martin Atzmueller, Wouter Duivesteijn",Communications in Computer and Information Science,(2019),https://doi.org/10.1007/978-3-030-31978-6
https://link.springer.com/book/10.1007/978-3-319-76892-2,Artificial Intelligence,"29th Benelux Conference, BNAIC 2017, Groningen, The Netherlands, November 8–9, 2017, Revised Selected Papers","Prof. Dr. Bart Verheij, Marco Wiering",Communications in Computer and Information Science,(2018),https://doi.org/10.1007/978-3-319-76892-2
https://link.springer.com/book/10.1007/978-3-030-33274-7,Artificial Intelligence,"5th RAAI Summer School, Dolgoprudny, Russia, July 4–7, 2019, Tutorial Lectures","Gennady S. Osipov, Aleksandr I. Panov…",Lecture Notes in Computer Science,(2019),https://doi.org/10.1007/978-3-030-33274-7
https://link.springer.com/book/10.1007/978-3-030-30763-9,Artificial Intelligence,"17th Russian Conference, RCAI 2019, Ulyanovsk, Russia, October 21–25, 2019, Proceedings","Prof. Sergei O. Kuznetsov, Aleksandr I. Panov",Communications in Computer and Information Science,(2019),https://doi.org/10.1007/978-3-030-30763-9
https://link.springer.com/book/10.1007/978-3-030-59535-7,Artificial Intelligence,"18th Russian Conference, RCAI 2020, Moscow, Russia, October 10–16, 2020, Proceedings","Sergei O. Kuznetsov, Aleksandr I. Panov…",Lecture Notes in Computer Science,(2020),https://doi.org/10.1007/978-3-030-59535-7
https://link.springer.com/book/10.1007/978-981-13-2122-1,Artificial Intelligence,"First CCF International Conference, ICAI 2018, Jinan, China, August 9-10, 2018, Proceedings","Zhi-Hua Zhou, Qiang Yang, Yang Gao, Yu Zheng",Communications in Computer and Information Science,(2018),https://doi.org/10.1007/978-981-13-2122-1
https://link.springer.com/book/10.1007/978-3-030-00617-4,Artificial Intelligence,"16th Russian Conference, RCAI 2018, Moscow, Russia, September 24-27, 2018, Proceedings","Dr. Sergei O. Kuznetsov, Gennady S. Osipov…",Communications in Computer and Information Science,(2018),https://doi.org/10.1007/978-3-030-00617-4
